datetime,demand_mw,nuclear_mw,wind_mw,solar_new_mw,solar_existing_mw,solar_total_mw,gas_mw,bath_discharge_mw,bath_charge_mw,bath_soc_mwh,na_discharge_mw,na_charge_mw,na_soc_mwh,ironair_discharge_mw,ironair_charge_mw,ironair_soc_mwh,curtailment_mwh,unserved_mwh
2035-04-01 00:00:00,18162.67870764149,3178.3,2115.32,0.0,0.0,0.0,0.0,0.0,0.0,12000.0,11707.792973412823,0.0,30108.742627589887,1161.2657342286698,0.0,56902.02097720482,0.0,0.0
2035-04-01 01:00:00,17980.345320675216,3178.3,2115.32,0.0,0.0,0.0,10192.625617521524,0.0,0.0,12000.0,1332.8339689250242,0.0,28775.908658664863,1161.2657342286698,0.0,55740.75524297615,0.0,0.0
2035-04-01 02:00:00,17911.757294269682,3178.3,2115.32,0.0,0.0,0.0,0.0,2334.1384642048256,0.0,9665.861535795175,9122.733095836187,0.0,19653.175562828677,1161.2657342286698,0.0,54579.48950874748,0.0,0.0
2035-04-01 03:00:00,17919.85153341071,3178.3,2115.32,0.0,0.0,0.0,0.0,3000.0,0.0,6665.861535795175,8464.965799182042,0.0,11188.209763646635,1161.2657342286698,0.0,53418.22377451881,0.0,0.0
2035-04-01 04:00:00,18083.44036657671,3178.3,2115.32,0.0,0.0,0.0,11628.554632348041,0.0,0.0,6665.861535795175,0.0,0.0,11188.209763646635,1161.2657342286698,0.0,52256.95804029014,0.0,0.0
2035-04-01 05:00:00,18360.774560303442,3178.3,2115.32,0.0,0.0,0.0,0.0,3000.0,0.0,3665.8615357951744,8905.888826074774,0.0,2282.3209375718666,1161.2657342286698,0.0,51095.69230606147,0.0,0.0
2035-04-01 06:00:00,18521.381305364856,3178.3,2115.32,137.2343807501898,19.994614114581292,157.2289948647711,11909.266576271417,0.0,0.0,3665.8615357951744,0.0,0.0,2282.3209375718666,1161.2657342286698,0.0,49934.4265718328,0.0,0.0
2035-04-01 07:00:00,18779.11892011858,3178.3,2115.32,2186.302261669109,318.53730691206334,2504.8395685811724,9819.39361730874,0.0,0.0,3665.8615357951744,0.0,0.0,2282.3209375718666,1161.2657342286698,0.0,48773.16083760413,0.0,0.0
2035-04-01 08:00:00,18942.28174069821,3178.3,2115.32,6288.814707422336,916.260361475338,7205.075068897674,0.0,3000.0,0.0,665.8615357951744,2282.3209375718666,0.0,-0.0,1161.2657342286698,0.0,47611.895103375464,0.0,0.0
2035-04-01 09:00:00,18992.125213303476,3178.3,2115.32,10361.709696730206,1509.668246549428,11871.377943279635,0.0,665.8615357951744,0.0,-0.0,0.0,0.0,0.0,1161.2657342286698,0.0,46450.629369146794,0.0,0.0
2035-04-01 10:00:00,19031.318371249497,3178.3,2115.32,16252.429243351948,2367.9274054283164,18620.356648780264,0.0,0.0,0.0,-0.0,0.0,4882.658277530765,4394.392449777689,0.0,0.0,46450.629369146794,0.0,0.0
2035-04-01 11:00:00,19066.67741591819,3178.3,2115.32,20866.332964845868,3040.1585472806755,23906.491512126544,0.0,0.0,0.0,0.0,0.0,10133.434096208352,13514.483136365212,0.0,0.0,46450.629369146794,0.0,0.0
2035-04-01 12:00:00,19071.789566954627,3178.3,2115.32,23828.03935728781,3471.669777293519,27299.709134581328,0.0,0.0,579.9968798005813,463.997503840465,0.0,12941.542687826119,25161.871555408718,0.0,0.0,46450.629369146794,0.0,0.0
2035-04-01 13:00:00,19080.735831268394,3178.3,2115.32,26853.120283585482,3912.414475932883,30765.534759518363,0.0,0.0,3000.0,2863.997503840465,0.0,12941.542687826119,36809.25997445222,0.0,1036.876240423855,47280.13036148588,0.0,0.0
2035-04-01 14:00:00,19112.26076265976,3178.3,2115.32,25275.007289519974,3682.488416784598,28957.495706304573,0.0,0.0,2197.3122558186915,4621.8473084954185,0.0,12941.542687826119,48456.64839349573,0.0,0.0,47280.13036148588,0.0,0.0
2035-04-01 15:00:00,19122.911077319,3178.3,2115.32,8546.857763971098,1245.2500747162724,9792.10783868737,2875.917504402961,0.0,0.0,4621.8473084954185,0.0,0.0,48456.64839349573,1161.2657342286698,0.0,46118.86462725721,0.0,0.0
2035-04-01 16:00:00,19092.66418368675,3178.3,2115.32,3350.242636617174,488.1197287676408,3838.362365384815,0.0,0.0,0.0,4621.8473084954185,8799.416084073266,0.0,39657.23230942246,1161.2657342286698,0.0,44957.59889302854,0.0,0.0
2035-04-01 17:00:00,19032.596409008605,3178.3,2115.32,1264.481384098904,184.2309280802746,1448.7123121791788,11128.998362600758,0.0,0.0,4621.8473084954185,0.0,0.0,39657.23230942246,1161.2657342286698,0.0,43796.33315879987,0.0,0.0
2035-04-01 18:00:00,18989.99515037163,3178.3,2115.32,0.0,0.0,0.0,12224.0,0.0,0.0,4621.8473084954185,311.1094161429605,0.0,39346.122893279506,1161.2657342286698,0.0,42635.0674245712,0.0,0.0
2035-04-01 19:00:00,19005.75761606731,3178.3,2115.32,0.0,0.0,0.0,12224.0,0.0,0.0,4621.8473084954185,326.8718818386401,0.0,39019.251011440865,1161.2657342286698,0.0,41473.80169034253,0.0,0.0
2035-04-01 20:00:00,19120.781014387154,3178.3,2115.32,0.0,0.0,0.0,12224.0,0.0,0.0,4621.8473084954185,441.8952801584851,0.0,38577.35573128238,1161.2657342286698,0.0,40312.53595611386,0.0,0.0
2035-04-01 21:00:00,19089.256082995787,3178.3,2115.32,0.0,0.0,0.0,12224.0,0.0,0.0,4621.8473084954185,410.3703487671187,0.0,38166.98538251527,1161.2657342286698,0.0,39151.27022188519,0.0,0.0
2035-04-01 22:00:00,18832.370493414805,3178.3,2115.32,0.0,0.0,0.0,0.0,0.0,0.0,4621.8473084954185,12377.484759186136,0.0,25789.50062332913,1161.2657342286698,0.0,37990.00448765652,0.0,0.0
2035-04-01 23:00:00,18535.439720715058,3178.3,2115.32,0.0,0.0,0.0,6379.035631064533,0.0,0.0,4621.8473084954185,5701.5183554218565,0.0,20087.98226790727,1161.2657342286698,0.0,36828.73875342785,0.0,0.0
2035-04-02 00:00:00,18220.616419387785,3178.3,2115.32,0.0,0.0,0.0,11765.730685159117,0.0,0.0,4621.8473084954185,0.0,0.0,20087.98226790727,1161.2657342286698,0.0,35667.473019199184,0.0,0.0
2035-04-02 01:00:00,18049.785372253496,3178.3,2115.32,0.0,0.0,0.0,0.0,0.0,0.0,4621.8473084954185,11594.899638024828,0.0,8493.082629882443,1161.2657342286698,0.0,34506.207284970515,0.0,0.0
2035-04-02 02:00:00,17855.0976202825,3178.3,2115.32,0.0,0.0,0.0,11400.211886053832,0.0,0.0,4621.8473084954185,0.0,0.0,8493.082629882443,1161.2657342286698,0.0,33344.941550741845,0.0,0.0
2035-04-02 03:00:00,17836.353066482232,3178.3,2115.32,0.0,0.0,0.0,11381.467332253564,0.0,0.0,4621.8473084954185,0.0,0.0,8493.082629882443,1161.2657342286698,0.0,32183.675816513176,0.0,0.0
2035-04-02 04:00:00,17947.96836411111,3178.3,2115.32,0.0,0.0,0.0,0.0,3000.0,0.0,1621.8473084954185,8493.082629882443,0.0,-0.0,1161.2657342286698,0.0,31022.410082284507,0.0,0.0
2035-04-02 05:00:00,18158.41858177779,3178.3,2115.32,0.0,0.0,0.0,11703.532847549122,0.0,0.0,1621.8473084954185,0.0,0.0,-0.0,1161.2657342286698,0.0,29861.144348055837,0.0,0.0
2035-04-02 06:00:00,18307.09697442085,3178.3,2115.32,201.9154407140537,29.418439452152636,231.3338801662063,9999.030051530555,1621.8473084954185,0.0,-0.0,0.0,0.0,-0.0,1161.2657342286698,0.0,28699.878613827168,0.0,0.0
2035-04-02 07:00:00,18551.202186410737,3178.3,2115.32,2075.81615937018,302.4398321508914,2378.2559915210713,9718.060460661,0.0,0.0,-0.0,0.0,0.0,-0.0,1161.2657342286698,0.0,27538.6128795985,0.0,0.0
2035-04-02 08:00:00,18797.437461332484,3178.3,2115.32,2258.4572012743615,329.05005281423007,2587.5072540885917,9755.044473015225,0.0,0.0,-0.0,0.0,0.0,-0.0,1161.2657342286698,0.0,26377.34714536983,0.0,0.0
2035-04-02 09:00:00,18922.25914913883,3178.3,2115.32,3346.788767501443,487.6165109894586,3834.4052784909018,8632.96813641926,0.0,0.0,-0.0,0.0,0.0,0.0,1161.2657342286698,0.0,25216.08141114116,0.0,0.0
