datetime,demand_mw,nuclear_mw,wind_mw,solar_new_mw,solar_existing_mw,solar_total_mw,gas_mw,bath_net_mw,na_net_mw,ironair_net_mw,bath_soc_mwh,na_soc_mwh,ironair_soc_mwh,total_storage_soc_pct,curtailment_mwh,unserved_mwh
2045-04-01 00:00:00,19726.80790477074,3178.3,2115.32,0.0,0.0,0.0,0.0,0.0,0.0,14433.187904770748,12000.0,152074.61406872864,3151891.7834388334,50,-0.0,0.0
2045-04-01 01:00:00,19728.236748732837,3178.3,2115.32,0.0,0.0,0.0,0.0,0.0,0.0,14434.616748732835,12000.0,146830.66185946212,3127639.51841831,49,-0.0,0.0
2045-04-01 02:00:00,19784.91422589595,3178.3,2115.32,0.0,0.0,0.0,0.0,0.0,0.0,14491.294225895952,12000.0,141586.7096501956,3103341.9114160566,49,-0.0,0.0
2045-04-01 03:00:00,19989.71519379629,3178.3,2115.32,0.0,0.0,0.0,0.0,0.0,0.0,14696.095193796296,12000.0,136342.7574409291,3078880.463639483,48,-0.0,0.0
2045-04-01 04:00:00,20187.37194188615,3178.3,2115.32,0.0,0.0,0.0,0.0,3000.0,0.0,11893.751941886148,9000.0,131098.80523166258,3056660.890464437,48,-0.0,0.0
2045-04-01 05:00:00,20089.734271142966,3178.3,2115.32,0.0,0.0,0.0,0.0,3000.0,0.0,11796.114271142971,6000.0,125854.85302239607,3034519.427425986,47,-0.0,0.0
2045-04-01 06:00:00,20016.386947755404,3178.3,2115.32,435.7092000413177,19.017080039132175,454.72628008044984,0.0,1200.0,0.0,13068.040667674955,4800.0,120610.90081312956,3011360.4232703093,47,-0.0,0.0
2045-04-01 07:00:00,20067.34904907014,3178.3,2115.32,6941.351024962115,302.96405953534816,7244.315084497463,0.0,0.0,0.0,7529.4139645726755,4800.0,115366.94860386304,2992632.3204771145,47,-0.0,0.0
2045-04-01 08:00:00,20147.840592268178,3178.3,2115.32,19966.53032862736,871.4645119434239,20837.994840570784,0.0,-3000.0,-2983.7742483026013,0.0,7200.0,113106.77064289912,2979927.748855578,46,-0.0,0.0
2045-04-01 09:00:00,20199.75525622431,3178.3,2115.32,32897.676357361626,1435.8607629356593,34333.53712029729,0.0,-3000.0,-16427.40186407297,0.0,9600.0,124290.22029770559,2967223.177234041,46,-0.0,0.0
2045-04-01 10:00:00,20204.041788110597,3178.3,2115.32,51600.28343946312,2252.159743510402,53852.443182973526,0.0,-3000.0,0.0,-35942.021394862924,12000.0,119046.26808843907,2990460.627007367,47,-0.0,0.0
2045-04-01 11:00:00,20185.46681660336,3178.3,2115.32,66249.09293290337,2891.5255925407546,69140.61852544412,0.0,-3000.0,-51248.771708840766,0.0,14400.0,165051.08758801332,2977756.0553858303,47,-0.0,0.0
2045-04-01 12:00:00,20146.411748306084,3178.3,2115.32,75652.29580345191,3301.940294815716,78954.23609826763,0.0,-3000.0,-52439.52209266505,-8661.922257296494,16800.0,212246.65747141186,2973713.40602159,48,-0.0,0.0
2045-04-01 13:00:00,20051.155484166393,3178.3,2115.32,85256.70822002183,3721.137042640698,88977.84526266252,0.0,-3000.0,-18487.23973631425,-52733.07004218188,19200.0,225489.9449984596,3013741.904442235,49,-0.0,0.0
2045-04-01 14:00:00,19972.569066251148,3178.3,2115.32,80246.3139845515,3502.4520385266924,83748.76602307819,0.0,-3000.0,-52439.52209266505,-13630.294864161988,21600.0,272685.51488185814,3014667.62768486,49,-0.0,0.0
2045-04-01 15:00:00,19995.430569644668,3178.3,2115.32,27135.65317123801,1184.369961025906,28320.023132263916,0.0,-3000.0,0.0,-10618.212562619243,24000.0,267441.56267259165,3012581.2686259425,49,-0.0,0.0
2045-04-01 16:00:00,20125.455370195352,3178.3,2115.32,10636.777250461451,464.25561891110794,11101.032869372559,0.0,1800.0,0.0,1930.8025008227924,22200.0,262197.61046332517,2998332.0550037473,49,-0.0,0.0
2045-04-01 17:00:00,20180.70400339637,3178.3,2115.32,4014.6366334815825,175.2239020422602,4189.860535523842,0.0,0.0,0.0,10697.223467872529,22200.0,256953.65825405865,2977069.704607913,49,-0.0,0.0
2045-04-01 18:00:00,20203.0892254692,3178.3,2115.32,0.0,0.0,0.0,0.0,3000.0,0.0,11909.469225469205,19200.0,251709.70604479217,2954837.557606001,48,-0.0,0.0
2045-04-01 19:00:00,20197.373849620817,3178.3,2115.32,0.0,0.0,0.0,0.0,3000.0,0.0,11903.753849620814,16200.0,246465.75383552568,2932609.9829047676,48,-0.0,0.0
2045-04-01 20:00:00,20194.992443017327,3178.3,2115.32,0.0,0.0,0.0,0.0,0.0,0.0,14901.372443017332,16200.0,241221.8016262592,2907984.313328817,47,-0.0,0.0
2045-04-01 21:00:00,20074.969550201313,3178.3,2115.32,0.0,0.0,0.0,0.0,3000.0,0.0,11781.34955020131,13200.0,235977.8494169927,2885854.662067119,47,-0.0,0.0
2045-04-01 22:00:00,19803.96547872389,3178.3,2115.32,0.0,0.0,0.0,0.0,3000.0,0.0,11510.345478723888,10200.0,230733.89720772623,2863941.8140626033,46,-0.0,0.0
2045-04-01 23:00:00,19581.065820637014,3178.3,2115.32,0.0,0.0,0.0,0.0,3000.0,0.0,11287.445820637018,7200.0,225489.94499845974,2842207.285784557,46,-0.0,0.0
2045-04-02 00:00:00,19427.703235372104,3178.3,2115.32,0.0,0.0,0.0,0.0,0.0,0.0,14134.083235372105,7200.0,220245.99278919326,2818195.4475747226,46,-0.0,0.0
2045-04-02 01:00:00,19368.168070284795,3178.3,2115.32,0.0,0.0,0.0,0.0,0.0,0.0,14074.5480702848,7200.0,215002.04057992678,2794231.237496958,45,-0.0,0.0
2045-04-02 02:00:00,19417.70132763744,3178.3,2115.32,0.0,0.0,0.0,0.0,0.0,0.0,14124.08132763744,7200.0,209758.0883706603,2770227.4008133113,45,-0.0,0.0
2045-04-02 03:00:00,19542.01075233974,3178.3,2115.32,0.0,0.0,0.0,0.0,0.0,0.0,14248.390752339736,7200.0,204514.13616139378,2746124.116589903,44,-0.0,0.0
2045-04-02 04:00:00,19764.434129105917,3178.3,2115.32,0.0,0.0,0.0,0.0,0.0,0.0,14470.814129105915,7200.0,199270.18395212726,2721842.8936650814,44,-0.0,0.0
2045-04-02 05:00:00,20007.81388398283,3178.3,2115.32,0.0,0.0,0.0,0.0,1200.0,0.0,13514.193883982836,6000.0,194026.23174286075,2698326.9669363583,43,-0.0,0.0
2045-04-02 06:00:00,20132.599590005826,3178.3,2115.32,641.0668716438885,27.980175785436302,669.0470474293247,0.0,3000.0,0.0,11169.932542576498,3000.0,188782.27953359424,2676686.4492807603,43,-0.0,0.0
2045-04-02 07:00:00,20130.694464723034,3178.3,2115.32,6590.565667931361,287.6535882150804,6878.219256146441,0.0,0.0,0.0,7958.855208576591,3000.0,183538.32732432772,2657614.7934923624,43,-0.0,0.0
