datetime,demand_mw,nuclear_mw,wind_mw,solar_new_mw,solar_existing_mw,solar_total_mw,gas_mw,bath_discharge_mw,bath_charge_mw,bath_soc_mwh,na_discharge_mw,na_charge_mw,na_soc_mwh,ironair_discharge_mw,ironair_charge_mw,ironair_soc_mwh,curtailment_mwh,unserved_mwh
2044-04-01 00:00:00,19726.80790477074,3178.3,2115.32,0.0,0.0,0.0,0.0,3000.0,3000.0,11400.0,49721.489606988245,35288.301702217504,131202.45074597222,25823.175879749946,25823.175879749946,1285994.1588115473,0.0,0.0
2044-04-01 01:00:00,19728.236748732837,3178.3,2115.32,0.0,0.0,0.0,0.0,3000.0,3000.0,10800.0,49721.489606988245,35286.8728582554,113239.14671141384,25823.175879749946,25823.175879749946,1280829.5236355974,0.0,0.0
2044-04-01 02:00:00,19784.91422589595,3178.3,2115.32,0.0,0.0,0.0,0.0,3000.0,3000.0,10200.0,49721.489606988245,35230.19538109229,95224.83294740866,25823.175879749946,25823.175879749946,1275664.8884596475,0.0,0.0
2044-04-01 03:00:00,19989.71519379629,3178.3,2115.32,0.0,0.0,0.0,0.0,3000.0,3000.0,9600.0,49721.489606988245,35025.394413191956,77026.19831229319,25823.175879749946,25823.175879749946,1270500.2532836976,0.0,0.0
2044-04-01 04:00:00,20187.37194188615,3178.3,2115.32,0.0,0.0,0.0,0.0,3000.0,3000.0,9000.0,49721.489606988245,34827.73766510209,58649.67260389682,25823.175879749946,25823.175879749946,1265335.6181077478,0.0,0.0
2044-04-01 05:00:00,20089.734271142966,3178.3,2115.32,0.0,0.0,0.0,0.0,3000.0,3000.0,8400.0,49721.489606988245,34925.37533584528,40361.02079916933,25823.175879749946,25823.175879749946,1260170.9829317979,0.0,0.0
2044-04-01 06:00:00,20016.386947755404,3178.3,2115.32,560.6846328676826,19.017080039132175,579.7017129068148,0.0,3000.0,3000.0,7800.0,49721.489606988245,35578.424372139656,22660.11312710678,25823.175879749946,25823.175879749946,1255006.347755848,0.0,0.0
2044-04-01 07:00:00,20067.34904907014,3178.3,2115.32,8932.354080812456,302.96405953534816,9235.318140347805,0.0,3000.0,3000.0,7200.0,49721.489606988245,44183.078698265905,12703.39434855785,25823.175879749946,25823.175879749946,1249841.712579898,0.0,0.0
2044-04-01 08:00:00,20147.840592268178,3178.3,2115.32,25693.574351623243,871.4645119434239,26565.038863566668,0.0,600.0,3000.0,9000.0,40410.67133568975,49721.489606988245,17042.063659157517,25823.175879749946,25823.175879749946,1244677.0774039482,0.0,0.0
2044-04-01 09:00:00,20199.75525622431,3178.3,2115.32,42333.78957542785,1435.8607629356593,43769.65033836351,0.0,3000.0,3000.0,8400.0,20857.974524849054,49721.489606988245,40933.429780597886,25823.175879749946,25823.175879749946,1239512.4422279983,0.0,0.0
2044-04-01 10:00:00,20204.041788110597,3178.3,2115.32,66400.90678227636,2252.159743510402,68653.06652578677,0.0,0.0,3000.0,10800.0,0.0,49721.489606988245,85682.7704268873,25823.175879749946,25823.175879749946,1234347.8070520484,1021.1551306879192,0.0
2044-04-01 11:00:00,20185.46681660336,3178.3,2115.32,85251.46667864603,2891.5255925407546,88142.99227118678,0.0,0.0,3000.0,13200.0,0.0,49721.489606988245,130432.11107317673,25823.175879749946,25823.175879749946,1229183.1718760985,20529.655847595168,0.0
2044-04-01 12:00:00,20146.411748306084,3178.3,2115.32,97351.81101095272,3301.940294815716,100653.75130576844,0.0,3000.0,3000.0,12600.0,0.0,49721.489606988245,175181.45171946613,25823.175879749946,25823.175879749946,1224018.5367001486,36079.46995047411,0.0
2044-04-01 13:00:00,20051.155484166393,3178.3,2115.32,109711.07826806747,3721.137042640698,113432.21531070817,0.0,3000.0,3000.0,12000.0,0.0,49721.489606988245,219930.79236575554,25823.175879749946,25823.175879749946,1218853.9015241987,48953.19021955353,0.0
2044-04-01 14:00:00,19972.569066251148,3178.3,2115.32,103263.54158036238,3502.4520385266924,106765.99361888907,0.0,3000.0,3000.0,11400.0,0.0,49721.489606988245,264680.13301204494,25823.175879749946,25823.175879749946,1213689.2663482488,42365.554945649674,0.0
2044-04-01 15:00:00,19995.430569644668,3178.3,2115.32,34919.032543948066,1184.369961025906,36103.40250497397,0.0,3000.0,3000.0,10800.0,30739.372999917076,49721.489606988245,278690.1006584173,25823.175879749946,25823.175879749946,1208524.631172299,2419.4753282581332,0.0
2044-04-01 16:00:00,20125.455370195352,3178.3,2115.32,13687.747577982633,464.25561891110794,14152.00319689374,0.0,3000.0,3000.0,10200.0,49721.489606988245,49041.65743368663,273106.102741747,25823.175879749946,25823.175879749946,1203359.995996349,0.0,0.0
2044-04-01 17:00:00,20180.70400339637,3178.3,2115.32,5166.163731973794,175.2239020422602,5341.387634016054,0.0,3000.0,3000.0,9600.0,49721.489606988245,40175.793237607926,259542.82704860583,25823.175879749946,25823.175879749946,1198195.3608203991,0.0,0.0
2044-04-01 18:00:00,20203.0892254692,3178.3,2115.32,0.0,0.0,0.0,0.0,3000.0,3000.0,9000.0,49721.489606988245,34812.02038151905,241152.15578498473,25823.175879749946,25823.175879749946,1193030.7256444492,0.0,0.0
2044-04-01 19:00:00,20197.373849620817,3178.3,2115.32,0.0,0.0,0.0,0.0,3000.0,3000.0,8400.0,49721.489606988245,34817.73575736742,222766.62835962718,25823.175879749946,25823.175879749946,1187866.0904684993,0.0,0.0
2044-04-01 20:00:00,20194.992443017327,3178.3,2115.32,0.0,0.0,0.0,0.0,3000.0,3000.0,7800.0,49721.489606988245,34820.11716397092,204383.24420021276,25823.175879749946,25823.175879749946,1182701.4552925494,0.0,0.0
